,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
209,209,"
Toulouse, OCC",,,1966.0,"
Il y a 3 jours",,"
Ingénierie & Services Associés","
https://expleo.com/global/fr/carrieres/",,"
10 000 salariés ou plus","
CDI",2023-07-21,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent.
Nous les aidons à développer un avantage compétitif et à améliorer le quotidien de millions de personnes.
Nos postes sont accessibles aux personnes en situation de handicap.
Mission
Nous recherchons, pour tous type de secteur, un développeur spécialisé en python afin d’intégrer notre équipe de développeur.
 Vous serez en charge :
 Développer la solution technique (Python, algorithmie et traitement de données)
Assurer la validation des fonctions
Intégrer les parties logicielles dans un système
Participer à la rédaction des plans de tests et à la réalisation des tests de validation
Réaliser la traçabilité des exigences jusqu’à la solution technique et la validation
 Vous pourrez intervenir sur le développement :
De calculateurs embarqués sur avions, hélicoptères, sous-marins
Des systèmes de communication au sol ou embarqué sur satellites / nano satellites
Des bancs de tests d'équipements électroniques
 En fonction de vos compétences et de votre expérience vous pourrez intervenir sur les différentes phases du cycle en V.
Les projets qui vous seront confiés sont forfaitaires réalisés dans nos locaux permettant la livraison à nos clients de systèmes complexes (équipements embarqués ou moyens spécifiques de test) clef en main à haute valeur ajoutée technique.
Profil
Vous êtes issu(e) d'une formation Bac+2/ +3 informatique
 Vous avez déjà touché de près ou de loin les compétences suivantes (les compétences en gras doivent être maitrisées) :
Python, Python QT, QML, Git, SVN, Cycle en V, Méthode AGILE, C++,
 Cadre de travail :
Expleo Toulouse possèdent de nombreux atouts :
Un Laboratoires de 400m²
Un InovLab : Projet professionnel et personnel
Une cantine
Un Service de véhicule et vélo électrique pour vos déplacements chez le client",f3402d26-7336-489c-af1d-c6f2464c9f82,Développeur Python Embarqué - H/F,python
210,210,"
Tours, CEN",,,,"
Il y a 4 jours",,,,,,,2023-07-21,"Votre mission
LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client un Développeur Python/Django H/F basé à Tours.
Rattaché au Responsable des Développements Logiciels et au sein d’une équipe confirmée, vous êtes en charge du développement d’applicatifs métiers en environnement Python et Open Source.
Vos missions :
Maintenir et développer des applications 
Participer aux choix techniques sur la réalisation et l’amélioration de l’architecture des applications développées
Effectuer les tests techniques, suivi et maintenance
Proposer de nouvelles solutions
Rédiger les documentations techniques
Veille technologique
Définir les deadlines des projets et les rapporter au Responsable des Développements

Environnement Technique :
- Python, Django- Applications mobiles (C#, Xamarin)- XML, HTML5, CSS3, JSON, CSV- Processing asynchrones- Apache, Nginx- MySQL, PostgreSQL, MS SQL Server- Powershell/VBS- Plateformes Linux
Votre profil
De formation supérieure en informatique, de type (Master MIAGE) ou ingénieur, vous disposez d'une première expérience sur du développement Python.
Clairvoyant, vous savez que votre code doit être robuste et tolérant aux pannes éventuelles d’un élément de vos plateformes.
Vous êtes communicant et faites preuve d'adaptabilité face à vos interlocuteurs.
Vous appréciez le travail en équipe.
Merci de nous transmettre votre candidatureCabinet LHH à Tours : Votre contact Morgane SIGNORETPour faire la différence :  www.lhh.com
A propos de nous
LHH Recruitment Solutions, cabinet de conseil en recrutement et évaluation d'experts, cadres et dirigeants, vous accompagne tout au long de votre carrière et s'assure que vous soyez "" Ready For Next "".
A votre écoute, nos experts en recrutement vous guident pour aller de l'avant et faire évoluer votre carrière vers la prochaine étape.",1057a225-87ee-41e4-afd0-f254cf2034cc,Développeur Python/Django (H/F),python
211,211,"
Montpellier, OCC",,,1976.0,"
Il y a 4 jours",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Analyse et technologies numériques émergentes
Localisation principale : France, Hérault, Montpellier
No de poste :J0723-0382
Type d’emploi :Temps plein
Rencontrez nos professionnels
CGI France : Développeur
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Rejoignez notre centre d’excellence en innovation à Montpellier et rendez unique l’expérience digitale de nos clients en travaillant sur des sujets tels que le marketing digital, User eXperience, CRM, RPA, data, développement web et mobile, API management ou encore cybersécurité ?
Fonctions et responsabilités :
Vous êtes passionné(e) par le domaine du WEB et avez déjà une expérience significative sur l’implémentation de projet en PYTHON.

Votre rôle au sein du Centre d’Innovation Digitale aura de très nombreuses facettes, toutes orientées vers un seul et même objectif : contribuer à la transformation digitale et au succès de nos clients. En tant que développeur PYTHON, vous serez intégré(e) à un pôle de consultant(e)s spécialistes WEB, sur des projets stimulants. Vos missions seront les suivantes :

- Identifier et conseiller les solutions appropriées pour répondre aux besoins des clients
- Participer aux différentes phases d’un projet (analyse, prototypage, conception, développement, déploiement, maintenance)
- Développer les composants back Python (Django, Flask, Spring, FastAPI)
- Développer les services web d’infrastructure (services REST)
- Développer les tests automatisés
- Effectuer de la veille technologique sur les technologies modernes

Accompagné(e) et entouré(e) par une communauté WEB passionnée, l’échange, le partage et les formations vous offriront un véritable espace pour vous épanouir. La proximité et le suivi personnalisé de votre manager, puis un bon nombre d’événements tout au long de l'année, renforceront encore la convivialité et l’esprit d'équipe !

Fort(e) d’une intégration réussie, de nombreuses possibilités d’évolutions de carrière s’offriront rapidement à vous, dans l’animation de la filière technique, dans le consulting autour du WEB, ou dans l’architecture technique.

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...).
Qualités requises pour réussir dans ce rôle :
Vous avez 3 ans d’expérience minimum dans le développement de projet en PYTHON Web.
Vous aimez travailler en équipe projet et apprécier les environnements dynamiques.
Vous avez la capacité de suivre les jalons projets, alerter en cas de risque, proposer des solutions.
Vous avez une bonne connaissance des bonnes pratiques et recommandations en langage python.
Vous avez une bonne connaissance des processus et outils de développement modernes (DevOps, Git, CI/CD…).
Une expérience sur des problématiques de web-services, d’accès concurrent à une base de donnée.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
Français
Python


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",9558c2c2-2017-4545-baa4-253532aa3a7d,Développeur(se) Python Web F/H,python
212,212,"
Fougeres, BRE 35300",,,,"
Il y a 2 jours","
35 000 € Par An","
Industrie Textile, Cuir & Confection","
http://www.expectra.fr",,"
500 à 999 salariés","
Temps Plein, CDI",2023-07-21,"A propos de notre client:
Notre client est une entreprise située à FOUGERES qui opère dans l'industrie de la confection, offrant une variété de produits et services liés à ce secteur.

Comment se déplacer jusqu'au lieu de travail ?

En voiture, vous profitez d'un parking gratuit mis à disposition.

Les locaux sont facilement accessibles en transport en commun.

Pourquoi rejoindre cette entreprise ?

L'entreprise, avec une mentalité axée sur la croissance et des valeurs humaines solides, vous offrira une expérience unique dans une organisation à taille humaine.
Descriptif du poste:
Nous recherchons un développeur informatique passionné par l'innovation et la création de solutions performantes.

En tant que seul collaborateur sur site pour l'informatique, votre périmètre couvre :
- La maintenance informatique du site
- La conception et le développement d'applications adaptés aux besoins métiers, dont un ERP
- La maintenance applicative des logiciels existants
- L'assistance utilisateurs sur les applications mais aussi sur l'infrastructure
- La gestion des serveurs

Voici les détails de l'opportunité :
Contrat: CDI
Salaire: entre 35000 et 40 000 euros /an

Notre client vous donne également accès aux avantages suivants:
Prévoyance santé
Primes et intéressements
CSE
Profil recherché:
Nous recherchons un candidat doté d'au moins 3 ans d'expérience, possédant les compétences et qualités suivantes pour rejoindre notre équipe et réussir dans ce poste :
- Diplôme en informatique ou formation équivalente
- Compétences en langages de programmation Python
- Maitrîse des environnements Windows
- Autonomie et bon relationnel sont des atouts pour ce poste

Processus de recrutement
Vous avez envie de vous lancer dans l'aventure ? Cliquez sur ""postuler"" et laissez-nous vous emmener dans une mission épique. ! Si votre profil est retenu, vous recevrez tout ce dont vous avez besoin pour votre quête. Que la force soit avec vous !
Réf. de l’offre: 307-S59-R000001_01R",0d7badb9-a6ae-40bd-a92a-d9e2094b1ee1,Developpeur python (F/H),python
213,213,"
Rennes, BRE",,,1986.0,"
Il y a 3 jours",,"
Informatique - Services","
http://www.itlink.fr",,"
500 à 999 salariés",,2023-07-21,"À PROPOS

Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de chacun.e : ce sont vos qualités humaines qui seront considérées.
“Connect and Create for Change”... with us !
IT Link, expert des systèmes connectés
Chez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité…).
Nous accompagnons nos clients dans leurs projets d’innovation et de transformation, des technologies embarquées à l’application métier en passant par le cloud et la science des données.
Pour cela, nous comptons sur nos 750 Linkers présent.e.s sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l’objectif est d’atteindre 1000 collaborateurs.trices pour soutenir notre forte croissance.

DESCRIPTIF DU POSTE
En rejoignant IT Link, vous intégrez une équipe de 6 à 8 personnes qui évolue dans un environnement agile . Vous prendrez part au développement  des applications  sur les technologies Python et le Framework Nagare afin de répondre aux besoins de notre client  basé à Rennes.
Pour vous, le poste idéal intègre notamment les tâches suivantes :
Développement des users stories, analyse de faisabilité et chiffrage (en interaction avec l’équipe Design).
Prise en charge du correctif
Participation à tous les cérémoniaux Scrum (grooming, RS,…) avec le client
Définition de l’architecture technique
Gestion du déploiement des applications et plateformes développées

PROFIL
Vous êtes diplômé(e) d'études supérieures en Informatique et vous avez une expérience significative réussie de 2 ans en tant que développeur Python. Aujourd’hui, vous :
 Avez une très bonne maîtrise du développement back-end en Python
une bonne maîtrise des technologies HTML5, Javascript, CSS3 et du système Linux
une bonne maîtrise de la programmation objet sur framework orienté web
Connaissance des méthodes Agiles voire participation à un projet mené en ambiance Agile

Toute expérience particulière de pratique de l’informatique dans un environnement spécifique (jeux, réalité augmentée, informatique embarquée, musique, …) est un plus
Alors n’hésitez plus, devenez Linker afin de nous accompagner dans la réalisation des rêves de demain !
Salaire : à partir de 38k (négociable selon votre profil et vos expériences)
Rejoindre IT Link c’est intégrer une entreprise soucieuse de donner du sens à ses actions, en mettant l’accent sur la proximité avec nos collaborateurs dans des contextes projets innovants.
Retrouvez plus de détails sur nos engagements : https://www.itlink.fr/le-groupe.

LE PROCESSUS DE RECRUTEMENT
Un process avec des étapes simples :
Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activités
Un accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C’est le moment de découvrir l’environnement du projet sur lequel vous serez amené.e à travailler !
Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d’intégration personnalisé !

« Papillonner c'est amusant jusqu'à ce qu'on aime bien un des papillons », et si IT LINK devenait la prochaine fleur sur laquelle vous poser ?
LES PLUS DE LA VIE CHEZ IT LINK
Transports en commun à 100%
Forts engagements RSE
Management de proximité
Participation financière au télétravail",7c1a2d5b-ba27-4cc9-9307-8188f331e526,Développeur Python (H/F/X),python
214,214,"
Paris, IDF",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Paris, Paris
No de poste :J1122-0472
Type d’emploi :Temps plein
Rencontrez nos professionnels
CGI France : Au travers de nos métiers, découvrez les hommes et les femmes de CGI
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Si vous souhaitez intégrer nos équipes à La Défense et accompagner les plus grands acteurs de l'Energie, Télécom, Environnement, Médias et Sport, cette annonce est susceptible de vous intéresser.

Nous cherchons des développeurs python F/H
Fonctions et responsabilités :
Vos missions principales sont les suivantes :

- Participer aux développements des applications
- Assurer le suivi de maintenance opérationnelle sur les applications développées
- Concevoir des programmes pour qu'ils fonctionnent.
- Définir et mettre en place les solutions techniques
- Rédiger les spécifications techniques
- Développer des outils web permettant de stocker, lire, rechercher des données en base de données depuis un frontal web
- Développer la prochaine génération de plate-forme
- Concevoir les systèmes de surveillance pour détecter les défaillances ou les comportements inattendus

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...). 
Qualités requises pour réussir dans ce rôle :
De formation BAC +5, vous disposez d’une expérience d’au moins 3 ans d’expériences minimum dans la conception et le développement.

Vous avez les compétences techniques suivantes :

- Python
- Gitlab ou Github et CI/CD
- Docker et Cloud (AWS, Azure, Google Cloud)
- Langages web (JS, HTML, CSS)
- Linux et Big Data
- Base de données (PostgreSQL, MySQL, Oracle...)

Vous êtes :

- passionné(e),
- rigoureux/Organisé
- Un bon communicant

La maîtrise de l’anglais serait un atout : Niveau B2 à C1.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
Python


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",8d384476-a10e-45c8-8137-bac52038621b,Développeur(se) Python - secteur énergie - F/H,python
215,215,"
Lyon, ARA",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Rhône, Lyon
No de poste :J0722-1323
Type d’emploi :Temps plein
Description du poste :
Au sein du Groupe, vous rejoignez les équipes lyonnaises.

A Lyon, nos équipes accompagnent nos clients grands comptes dans la mise en œuvre de leurs projets stratégiques. Nos services couvrent l'ensemble du cycle de production logiciel, de l’amont des projets à la maintenance de solutions dans des domaines variés comme l'énergie, le transport, le secteur public, la finance ou les télécommunications. Notre agence abrite également le centre mondial d'excellence de CGI dédié à la digitalisation de la supply chain, offrant ainsi de multiples perspectives d’évolution de carrière.
Fonctions et responsabilités :
Au sein de nos équipes travaillant dans le secteur de l’énergie, vous intégrerez en tant que Lead Développer une petite équipe projet Scrum déjà en place.
Votre mission consistera à analyser et développer les besoins métiers dans un contexte de refonte d’une application, tout en accompagnant deux autres développeurs (juniors à confirmés) afin de garantir la qualité globale de la solution.
Qualités requises pour réussir dans ce rôle :
Vous disposez d’au moins une année d’expérience dans un rôle d’encadrement technique de développeurs.

Vous êtes notamment en capacité d’aider au maintien et à l’amélioration de l’environnement technique nécessaire à l’équipe : LINUX / Apache / Python / Django

Vous êtes prêt à échanger avec le Product Owner, pour l’aider à identifier le meilleur compromis entre l’implémentation imaginée du besoin métier, et la complexité technique. Vous savez défendre vos convictions techniques, afin de faire valoir la meilleure solution auprès d’autres équipes, par exemple concernant la mise en place d’interfaces externes avec une application en R&D.

Compétences techniques nécessaires :
Python : expert
Django : confirmé
Angular : confirmé
Linux / shell : confirmé
PostGreSql : confirmé
Apache http server : confirmé

Compétences techniques souhaitables (un accompagnement dans la montée en compétence peut être mis en place) :
Jenkins / Sonar / SSO / Nexus / Docker

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+.


A propos de CGI :

Fondée en 1976, CGI figure parmi les plus importantes entreprises indépendantes de services-conseils en technologie de l’information (TI) et en management au monde. CGI compte 88 500 conseillers et professionnels établis partout dans le monde grâce auxquels l’entreprise offre un portefeuille complet de services et de solutions : des services-conseils stratégiques en TI et en management, de l’intégration de systèmes, des services en TI et en gestion des processus d’affaires en mode délégué ainsi que des solutions de propriété intellectuelle. La collaboration de CGI avec ses clients repose sur un modèle axé sur les relations locales, conjugué à un réseau mondial de prestation de services, qui permet aux clients de réaliser la transformation numérique de leur organisation et d’accélérer l’obtention de résultats. Au cours de l’exercice financier 2021, CGI a généré des revenus de 12,13 milliards $. Les actions de CGI sont inscrites à la Bourse de Toronto (GIB.A) ainsi qu’à la Bourse de New York (GIB). Apprenez-en davantage sur cgi.com.
Compétences :
Angular
Django
Linux
Postgre SQL
Python
Shell Script


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",85ce93d5-755f-4003-bafa-d7a66ad39993,Lead Développeur Python Angular H/F,python
216,216,"
Montigny-Le-Bretonneux, IDF",,,1966.0,"
Aujourd'hui",,"
Ingénierie & Services Associés","
https://expleo.com/global/fr/carrieres/",,"
10 000 salariés ou plus","
CDI",2023-07-21,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent. Nous les aidons à développer un avantage compétitif et à améliorer le quotidien de millions de personnes.
Nos postes sont accessibles aux personnes en situation de handicap.
Mission
En tant que développeur Python (Secteur Defense/Spatial) et entourée d’une équipe de passionnés et en étroite collaboration avec les chefs de projet, vous évoluerez dans un environnement Agile avec comme missions principales :
Analyse des besoins exprimés
Rédaction des spécifications fonctionnelles détaillées et techniques
Participation à la conception du logiciel
Réalisation des développements en Python dans un environnement embarqué
Réalisation et exécution des tests unitaires et des tests fonctionnels
Garant de la qualité du logiciel produit, notamment par l’analyse des résultats d’outils de qualimétrie et/ou de revue de pairs
Participation à toutes les étapes du projet, de la qualification à la mise en production
Maintenance évolutive et corrective des applicatifs déjà existants
Rédaction de la documentation technique associée au logiciel
Intégration et déploiement continu
Cycle itératif en sprint avec prise en compte des retours
#LI-MC3
Profil
Votre formation :

De formation supérieure Bac+5, Master, Master 2 ou Ecole d'Ingénieur en informatique.

Votre savoir-faire…

·        Vous disposez d'une expérience significative de 3 ans minimum en développement logiciel embarqué
·       Expérience en software et/ou firmware
·       Maitrise du langage de programmation python
·       Maitrise des bases de données
·       Développement de logiciels applicatifs et/ou embarqués
·       Maîtrise de l’anglais est un grand plus
Votre savoir-être :
Au-delà des aptitudes comportementales associées au poste, le profil recherché devra démontrer :
Sens de l'analyse et de la synthèse ;
Curiosité et une appétence pour la veille technologique ;
Sens de l'écoute et du dialogue ;
Force de proposition et de conviction ;
Bonne adaptabilité
Esprit proactif
Autonomie et réel sens des responsabilités ;
Polyvalence et état d'esprit en phase avec le fonctionnement d'une organisation à taille humaine ;",3611ffb8-cc6a-4496-9c3a-605a06687cb5,Développeur python H/F,python
217,217,"
Nanterre, IDF",,"
Service De Conciergerie, Salle De Sport, Prévoyance, Congés Maternité / Paternité, Mutuelle, Réductions Sur Les Produits/Services, Restaurant / Tickets Restaurants, Congés Maladie, Prime Sur Performance, Plan Retraite, Télé-Travail Subventionné, Congés Payés, Télé-Travail",1848.0,"
Il y a 4 jours",,"
Autres","
https://group.bnpparibas/emploi-carriere/toutes-offres-emploi",,"
10 000 salariés ou plus","
CDI",2023-07-21,"Concrètement votre Quotidien ?

Les compétences Python sont stratégiques pour Cardif.
Ce langage permet de développer les solutions d’Intelligence Artificielle. De plus, il permet aux autres métiers manipulant des données de réaliser des développements efficaces (Finance, Actuariat, etc.)
Nous créons un centre de compétences Python et cherchons un expert Python confirmé pour développer l’activité.
La mission consiste à être Tech Leader Python chez Cardif.
Vous accompagnerez le déploiement du langage python chez cardif .,
Vous apporterez votre expertise pour aider les développeurs tant au niveau du code que de l’architecture applicative.
Vous développerez des librairies, solutions et outillages propres à Cardif (monitoring, analyse de code automatique, etc.)
Vous rédigerez les standards de développements Python en partenariat avec les Datascientistes
Vous intervenez sur toutes les étapes du cycle de développement (Design, Buid, Test, Deploy, Monitor, Improve)
Vous participerez à la création de la nouvelle plateforme Python de Cardif
Vous assurerez la promotion de l’usage de Python au sein de Cardif
L’environnement de travail, c’est important !

Vous travaillez avec des équipes très variées : Datascientists, équipes à Nanterre, équipes à l’international dans une trentaine de pays, Métiers de l’assurance (Finance, Actuariat, etc.), acteurs du groupe BNP Paribas, éditeur, etc.
Vous évoluerez dans un monde à la pointe de la technique : Modèles de datascience (Python, Anaconda, Jupyter, Domino Datalab, etc.), Hébergement Cloud, kubernetes, docker, Télécoms, WS/Api, Système d’information Cardif (plus de 500 applications, ~10.000 serveurs, ~ 30 pays)
L’environnement de travail est dynamique et positif avec un réel partenariat avec les Datascientist et les métiers financiers de Cardif
Le lieu de travail est à Nanterre (accessible en RER, parking voiture et vélo) et le télétravail fait partie de notre quotidien.


La rémunération ?

C'est un sujet important, qui sera bien sûr abordé. Votre formation et votre expérience seront valorisées et prises en compte.
Pourquoi rejoindre BNP Paribas ?

Notre monde change : notre manière de nous informer, de consommer… et de travailler aussi ! Aujourd’hui, ce qui compte dans un job, c’est de vivre de véritables expériences, d’apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec l’idée qu’ils nous aideront à concevoir le monde et la banque de demain.
Et après ?
Ce poste vous permettra de travailler sur des sujets d'Intelligence Artificiel et de développer des compétences liées à l'Analytics.
Les interactions avec l’architecture seront importantes et permettront une évolution vers cette filière.
La mission est à l’intersection entre l’AI, le Dev et l’OPS : vous pourrez aussi évoluer vers un poste AI-DEV-OPS
Le contexte International est extrêmement présent et renforcera votre savoir-être multiculturel.
Cet environnement dynamique et stratégique favorisera les évolutions au sein de l’entreprise et du groupe BNP Paribas, soit en France, soit à l’International.
Et vous êtes-vous notre prochain expert Python ?

Vous avez un bac + 5 en informatique et une expérience de 10 ans en développement dont 5 en Python, ce qui vous a permis de développer une expertise sur Python et son écosystème (Librairies, Anaconda, Jupyter, etc).

Vous êtes familier avec la culture agile Devops, Data Engineering,IA Data science
Votre niveau d’anglais est avancé
Autonome, vous êtes organisé et apte à travailler avec des profils variés.
Vous aimez transmettre vos connaissances et avez de l’impact
Et si en plus vous avez une bonne capacité d’adaptation …alors postulez !
Enfin, nous attachons une importance particulière à ce que nos futurs collaborateurs agissent au quotidien avec responsabilité éthique et professionnelle.
À tout moment pendant le processus de recrutement, les informations figurant sur votre CV et vos données d’identification pourront être vérifiées par un prestataire externe mandaté par BNP Paribas.",4dc7fbd1-de5c-4ef0-8798-d49f18c982cc,Expert Usage Python H/F,python
218,218,"
Toulouse, OCC",,,1966.0,"
Il y a 3 jours",,"
Ingénierie & Services Associés","
https://expleo.com/global/fr/carrieres/",,"
10 000 salariés ou plus","
CDI",2023-07-21,"Expleo propose une offre unique de services intégrés d'ingénierie, qualité et conseil stratégique pour la transformation digitale. Dans un contexte d'accélération technologique sans précédent, nous sommes le partenaire de confiance des entreprises qui innovent.
Nous les aidons à développer un avantage compétitif et à améliorer le quotidien de millions de personnes.
Nos postes sont accessibles aux personnes en situation de handicap.
Mission
Nous recherchons, pour tous type de secteur, un développeur spécialisé en python afin d’intégrer notre équipe de développeur.
 Vous serez en charge :
 Développer la solution technique (Python, algorithmie et traitement de données)
Assurer la validation des fonctions
Intégrer les parties logicielles dans un système
Participer à la rédaction des plans de tests et à la réalisation des tests de validation
Réaliser la traçabilité des exigences jusqu’à la solution technique et la validation
 Vous pourrez intervenir sur le développement :
De calculateurs embarqués sur avions, hélicoptères, sous-marins
Des systèmes de communication au sol ou embarqué sur satellites / nano satellites
Des bancs de tests d'équipements électroniques
 En fonction de vos compétences et de votre expérience vous pourrez intervenir sur les différentes phases du cycle en V.
Les projets qui vous seront confiés sont forfaitaires réalisés dans nos locaux permettant la livraison à nos clients de systèmes complexes (équipements embarqués ou moyens spécifiques de test) clef en main à haute valeur ajoutée technique.
Profil
Vous êtes issu(e) d'une formation Bac+2/ +3 informatique
 Vous avez déjà touché de près ou de loin les compétences suivantes (les compétences en gras doivent être maitrisées) :
Python, Python QT, QML, Git, SVN, Cycle en V, Méthode AGILE, C++,
 Cadre de travail :
Expleo Toulouse possèdent de nombreux atouts :
Un Laboratoires de 400m²
Un InovLab : Projet professionnel et personnel
Une cantine
Un Service de véhicule et vélo électrique pour vos déplacements chez le client",ffe24b26-ddac-4833-8dcb-c3b5e80e9eeb,Développeur Python Embarqué - H/F,python
219,219,"
Tours, CEN",,,,"
Il y a 4 jours",,,,,,,2023-07-21,"Votre mission
LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client un Développeur Python/Django H/F basé à Tours.
Rattaché au Responsable des Développements Logiciels et au sein d’une équipe confirmée, vous êtes en charge du développement d’applicatifs métiers en environnement Python et Open Source.
Vos missions :
Maintenir et développer des applications 
Participer aux choix techniques sur la réalisation et l’amélioration de l’architecture des applications développées
Effectuer les tests techniques, suivi et maintenance
Proposer de nouvelles solutions
Rédiger les documentations techniques
Veille technologique
Définir les deadlines des projets et les rapporter au Responsable des Développements

Environnement Technique :
- Python, Django- Applications mobiles (C#, Xamarin)- XML, HTML5, CSS3, JSON, CSV- Processing asynchrones- Apache, Nginx- MySQL, PostgreSQL, MS SQL Server- Powershell/VBS- Plateformes Linux
Votre profil
De formation supérieure en informatique, de type (Master MIAGE) ou ingénieur, vous disposez d'une première expérience sur du développement Python.
Clairvoyant, vous savez que votre code doit être robuste et tolérant aux pannes éventuelles d’un élément de vos plateformes.
Vous êtes communicant et faites preuve d'adaptabilité face à vos interlocuteurs.
Vous appréciez le travail en équipe.
Merci de nous transmettre votre candidatureCabinet LHH à Tours : Votre contact Morgane SIGNORETPour faire la différence :  www.lhh.com
A propos de nous
LHH Recruitment Solutions, cabinet de conseil en recrutement et évaluation d'experts, cadres et dirigeants, vous accompagne tout au long de votre carrière et s'assure que vous soyez "" Ready For Next "".
A votre écoute, nos experts en recrutement vous guident pour aller de l'avant et faire évoluer votre carrière vers la prochaine étape.",7928ab47-b20d-45f8-a60e-ef1b2b8c6b9d,Développeur Python/Django (H/F),python
