,Unnamed: 0,ADRESSE,AUTRE RÉMUNÉRATION,AVANTAGES SOCIAUX EMPLOYÉ,DATE DE CRÉATION,DATE DE PUBLICATION,SALAIRE,SECTEUR,SITE WEB,SIÈGE SOCIAL,TAILLE DE LA SOCIÉTÉ,TYPE DE CONTRAT,current_date,description,job_id,job_title,Domain
249,249,"
Paris, IDF",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Paris
No de poste :J0623-0624
Type d’emploi :Temps plein
Rencontrez nos professionnels
CGI France : Au travers de nos métiers, découvrez les hommes et les femmes de CGI
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Si vous souhaitez intégrer nos équipes à La Défense et accompagner les plus grands acteurs de l'Energie, Télécom, Environnement, Médias et Sport, cette annonce est susceptible de vous intéresser.

Nous cherchons des consultants de Lead développeurs React JS F/H
Fonctions et responsabilités :
- Migration de la web app de gestion de flotte de gwt (java) vers Reactjs
- Encadrer une équipe React de niveau hétérogène (environ 6 personnes)
- Développement et maintenance du code.
- Revue de code et accompagnement des développeurs juniors pour leur montée en compétence.
- Constitution des sprints avec le chef de projet.

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...).
Qualités requises pour réussir dans ce rôle :
De formation Bac +4 ou 5 d’un Master ou Ingénieur Informatique, vous disposez d’une expérience professionnelle significative sur le même poste d’au moins 6 ans.

Vous avez les compétences techniques suivantes :

- React JS (composants fonctionnels, hooks, tests avec jest enzyme) typescript, Redux.
- Leaflet, ag-grid, formik, redux-toolkit, storybook
- Gitlab, Jenkins, Sonarqube et Jira.
- Java

Vous êtes :

- passionné(e),
- rigoureux(se)/Organisé(e)
- Un(e) bon(ne) communicant(e)

La maîtrise de l’anglais serait un atout : Niveau B2 à C1.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
Français


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",31437dc8-c109-40fa-8c08-70261fea6f85,Lead développeur(se) React JS- Secteur Télécom - F/H,react
250,250,"
Lyon, ARA",,,2013.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.openclassrooms.com",,"
100 à 499 salariés",,2023-07-21,"Vous cherchez à acquérir des compétences d'aujourd'hui et un métier qui a de l'avenir en alternance?
Notre mission : rendre l'éducation accessible à tous.
L'alternance avec OpenClassrooms, c'est apprendre un métier avec une formation mêlant 20 % de théorie et 80 % de pratique, pour être 100 % prêt à l'emploi ! Grâce à nos équipes, qui épaulent chaque profil dans la recherche d'un employeur, nous affichons un taux d'insertion de nos étudiants de plus de 80 % en entreprise !
Notre école en ligne propose des centaines de formations sur des métiers du numérique, 100 % en ligne, avec un diplôme reconnu par l'État à la clé. Vous former avec OpenClassrooms, c'est aussi rejoindre une communauté internationale de plus de 12 000 étudiants actifs et motivés, dans 72 pays.
Nous recherchons un profil motivé pour occuper le poste de Développeur d'application JavaScript React h/f en alternance pour une de nos entreprises partenaires (grande distribution, secteur bancaire, luxe, services, etc…).
Si votre candidature est retenue, votre scolarité sera entièrement financée par votre employeur.
Attention : pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.
Description de l'entreprise
L'entreprise est une coopérative qui revalorise les stocks dormants des industriels de la région Auvergne Rhône-Alpes.
Missions
En tant que développeur/ se, tu devras intégrer une plateforme de e-commerce à partir d'une maquette désignée par notre développeur web. Nous te fournirons toutes les ressources dont tu auras besoin. Tu seras encadrée à distance par notre développeur web . Intégration d'une plateforme de e-commerce à partir d'une maquette Technologies Front : Angular / HTML / SCSS / TypeScript / JS / Redux Possibilité de toucher à du backend : Firebase / NestJS Tu participeras aux réunions d'équipe hebdomadaires et bénéficieras du support nécessaire à la réalisation de tes missions . Bénéfices : Intégrer une entreprise en création et participer à sa construction. Avoir une vision systémique du développement d'une entreprise. Possibilité de suivre une micro formation Angular en MOOC Expérimenter le management horizontal, tes prises d'initiatives seront encouragées, et tes propositions écoutées .
Profil recherché
Formation développeur Front-End Autonome, rempli.e d'énergie, tu aimes essayer de chercher la solution seul-e Curieux.se, tu aimes apprendre de nouvelles choses Une appétence pour le secteur de la mode est un plus .
Pré-requis à la formation
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.",9a651819-92fc-4ba7-9228-b878eb2fe1de,Développeur d'Application Javascript React en alternance H/F,react
251,251,"
Labège, OCC",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Toulouse est, cabinet de recrutement spécialisé dans les domaines de l'informatique, l'ingénierie et les fonctions supports en CDI, CDD, Intérim, recrute pour l'un de ses clients un(e) Développeur web Full Stack Node JS (H/F), basé à Balma (31).
Vos missions
Vos missions seront les suivantes :

Participation aux choix stratégique des technologies,
Mise en place des bonnes pratique,
Développement front et back office de solutions responsives multi-supports,
Tests des développements et maintenance.
TECHNOLOGIES : ReactJS, Node JS, Redux, HTML/CSS, API Rest.
Pré-requis
Vous êtes autonome et vous aimez le travail en équipe.
Profil recherché
De formation supérieure en informatique, vous justifiez d'une première expérience dans le développement de sites web/applications.
La maîtrise de React JS et Redux est impérative, ainsi qu'une bonne maîtrise de HTML/CSS et API Rest.
Vous disposez d'un sens de l'esthétique et du détail.
Des expériences en serveur rendering (SSR) et en développement serveur seraient également appréciées.
Vous êtes passionné par l'informatique, ouvert à tout type de technologies et curieux d'apprendre de nouvelles choses.
Au sein d'une entreprise à forte exigence technique, vous souhaitez vous investir dans un cadre de travail stimulant.
Avantages :
Tickets restaurants,
Mutuelle,
Prime de fin d'année.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 32000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/07/2023",1007b154-5a51-4fdc-bed2-da68c9eda021,Développeur full stack React JS / Node JS (H/F),react
252,252,"
SAUMUR, PLO",,,1986.0,"
Il y a 3 jours",,"
Informatique - Services","
http://www.itlink.fr",,"
500 à 999 salariés",,2023-07-21,"À PROPOS

Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de chacun.e : ce sont vos qualités humaines qui seront considérées.
“Connect and Create for Change”... with us !
IT Link, expert des systèmes connectés
Chez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité…).
Nous accompagnons nos clients dans leurs projets d’innovation et de transformation, des technologies embarquées à l’application métier en passant par le cloud et la science des données.
Pour cela, nous comptons sur nos 750 Linkers présent.e.s sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l’objectif est d’atteindre 1000 collaborateurs.trices pour soutenir notre forte croissance.

DESCRIPTIF DU POSTE
En rejoignant IT Link, vous intégrez directement l’équipe R&D de notre client qui compte aujourd’hui 6 à 8 développeurs. Ces derniers sont répartis en deux groupes, l’un sur les technologies historiques en C embarqué et l’autre sur des langages de haut niveau Node et React.
Dans cet environnement, vous participez activement à l'élargissement des gammes des produits via le développement de nouveaux logiciels codés en Node et React.
Pour vous, le poste idéal intègre notamment les tâches suivantes :
Développer le back end et le front end
Participer aux choix d’architecture
Participer à la rédaction de la documentation (spécifications techniques, tests …)
Travailler en étroite collaboration avec le service Validation et également être support aux équipes interne de la société

PROFIL
Vous êtes diplômé.e d'études supérieures en Informatique et vous avez une expérience significative réussie de 2 ans. Aujourd’hui, vous :
Avez une bonne maîtrise du développement sur serveur Node JS
Avez des bonnes connaissances des frameworks web React, jQuery, Boostrap.
Avez connaissance du langage Typescript, des systèmes d’authentification (OAuth2…)
Êtes proactif, rigoureux et créatif
Aimer travailler en équipe
Salaire : 35k-40K (négociable selon votre profil et vos expériences)

LE PROCESSUS DE RECRUTEMENT
Un process avec des étapes simples :
Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activités
Un accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C’est le moment de découvrir l’environnement du projet sur lequel vous serez amené.e à travailler !
Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d’intégration personnalisé !

“Vous pouvez imaginer, créer et construire l'endroit le plus merveilleux de la terre, mais il faudra toujours des hommes pour que le rêve devienne réalité.” - Walt Disney. Et si vous veniez nous rejoindre pour réaliser les rêves de demain ? ✨
LES PLUS DE LA VIE CHEZ IT LINK
Alan : mutuelle familiale et 100% digitale
Transports en commun à 100%
Management de proximité
Forts engagements RSE",c8057db3-85a6-496e-ace7-64607246ceb3,Développeur.euse Full Stack Node/React (H/F/X),react
253,253,"
Châtillon, IDF",,,2013.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.openclassrooms.com",,"
100 à 499 salariés",,2023-07-21,"Vous cherchez à acquérir des compétences d'aujourd'hui et un métier qui a de l'avenir en alternance?
Notre mission : rendre l'éducation accessible à tous.
L'alternance avec OpenClassrooms, c'est apprendre un métier avec une formation mêlant 20 % de théorie et 80 % de pratique, pour être 100 % prêt à l'emploi ! Grâce à nos équipes, qui épaulent chaque profil dans la recherche d'un employeur, nous affichons un taux d'insertion de nos étudiants de plus de 80 % en entreprise !
Notre école en ligne propose des centaines de formations sur des métiers du numérique, 100 % en ligne, avec un diplôme reconnu par l'État à la clé. Vous former avec OpenClassrooms, c'est aussi rejoindre une communauté internationale de plus de 12 000 étudiants actifs et motivés, dans 72 pays.
Nous recherchons un profil motivé pour occuper le poste de Développeur Développeuse React en alternance pour une de nos entreprises partenaires (grande distribution, secteur bancaire, luxe, services, etc…).
Si votre candidature est retenue, votre scolarité sera entièrement financée par votre employeur.
Attention : pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.
Description de l'entreprise
En pleine accélération de sa transformation digitale, le groupe a mis en place sa Digital Factory qui compte début 2023 une bonne vingtaine de personnes (UX, scrums, tech lead, développeurs, Change). Cette Digital Factory est rattachée à la direction de la Transformation Digitale, elle-même adossée à la DSI. Elle a pour objet de développer des Produits pour les collaborateurs (« métiers ») du groupe. Les développements sont menés en méthode Agile au sein de squads dans lesquelles sont intégrées les Product Owners métiers des business unit du groupe.
Missions
L'alternant(e) fera partie de la Digital Factory et plus spécifiquement de l'équipe Delivery. Elle (il) s'intégrera aux équipes / squads pour participer au développement de nouvelles applications (Produits). Son rôle s'articulera autour de plusieurs missions et objectifs : Développement en .net et/ou React des user stories dans le respect des préconisations, Participation aux rituels agiles avec la squad, Tests unitaires et d'intégration des développements réalisés Rédaction de dossier de conception technique, Participation aux ateliers UX / UI et réalisation d'IHM dans le respect des préconisations
Profil recherché
: Orano est ouvert à tous les talents et toutes les différences.
Pour Postuler : https://www.orano.group/jobs/fr/offre/developpeur-developpeuse-net-et-ou-react-f-h_ALT-12738
Pré-requis à la formation
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.",f461ae46-08df-44a3-92c8-7462edf3c091,Développeur Développeuse React en alternance H/F,react
254,254,"
7 Rue Scribe
Paris, IDF 75009",,,,"
Il y a 1 jour",,,,,,"
Temps Plein, CDI",2023-07-21,"Dans la cadre d’un renfort d’équipe chez l’un de nos clients, acteur majeur dans le monde bancaire, nous recherchons un Tech Lead pour suivre une équipe d’une dizaine de développeurs.

La mission consiste à faire:

- Le suivi des développements Java (codes sources, tests unitaires, revue de code, ...)
- La mise en place de et le monitoring des environnements
- La livraison et le suivi de production

Si vous avez une expérience de 10 ans sur du développement JAVA Full Stack, dont 2 ans sur un poste de tech lead et une bonne maitrise du : Java, Rest, Docker, Jenkins, CI-CD, Sonar, React JS, AWS, n'hésitez plus ! et envoyez-nous votre CV .",26c3ca1b-29b7-4022-872c-baa4294f87b8,Tech Lead Java (H/F),react
255,255,"
Bordeaux, NA",,,2013.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.openclassrooms.com",,"
100 à 499 salariés",,2023-07-21,"Vous cherchez à acquérir des compétences d'aujourd'hui et un métier qui a de l'avenir en alternance?
Notre mission : rendre l'éducation accessible à tous.
L'alternance avec OpenClassrooms, c'est apprendre un métier avec une formation mêlant 20 % de théorie et 80 % de pratique, pour être 100 % prêt à l'emploi ! Grâce à nos équipes, qui épaulent chaque profil dans la recherche d'un employeur, nous affichons un taux d'insertion de nos étudiants de plus de 80 % en entreprise !
Notre école en ligne propose des centaines de formations sur des métiers du numérique, 100 % en ligne, avec un diplôme reconnu par l'État à la clé. Vous former avec OpenClassrooms, c'est aussi rejoindre une communauté internationale de plus de 12 000 étudiants actifs et motivés, dans 72 pays.
Nous recherchons un profil motivé pour occuper le poste de Développeur REACT/NODE JS en alternance pour une de nos entreprises partenaires (grande distribution, secteur bancaire, luxe, services, etc…).
Si votre candidature est retenue, votre scolarité sera entièrement financée par votre employeur.
Attention : pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.
Description de l'entreprise
Notre startup a développé une appli de rencontre et travail parallèlement au développement d'un réseau social privé pour modèle, influenceurs, célébrités et créateurs. Elle recherche un Développeur dès maintenant pour épauler le CTO sur différentes sections de notre plateforme. Une opportunité de participer au lancement de la plateforme, moment le plus excitant dans la vie d'une start-up. Bénéficier d'un cadre de travail agréable, dynamique et jeune. Profiter de missions variées et intéressantes
Missions
Développement d'un module de commentaire « Style Facebook » sur le fil d'actu. Développement d'un module de suggestions d'abonnements. Tester et améliorer les performances de la plateforme grâce à des outils divers (Light house). Rendre la plateforme responsive sur mobile et tablette
différentes tâches de mise en page/style. Module chat group à développer. Modification de page de landing éventuelle. Diverses missions annexes et 69 autres tickets dans Jira
Profil recherché
Codeur, programmeur, développeur Web, autodidacte
Qu'importe ton niveau de diplôme….
ou si tu es un intro ou extraverti(e).
Personnes rigoureuses, attentionnées, volontaires.
Maîtrise des outils de développement WEB et de l'environnement Linux.
Tu as de l'expérience en codage dans les technos suivantes :
React JS (un must).
Environnement Git.
Si tu es à l'aise sur les technos Node JS, REST, Arango DB, Swagger, Yaml et un peu de linux.
C'est un plus.
Connaissance en UX Design, maitrise ADOBE, c'est un plus.
Savoir être : Capacité à comprendre et traduire les problématiques Travailler en mode agile Passion pour le Dev Polyvalence Force de proposition
Pré-requis à la formation
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.",3d046ea5-69d8-490c-9415-0833d2fb47b1,Développeur React-Node Js en alternance H/F,react
256,256,"
Paris, IDF",,,1976.0,"
Aujourd'hui",,"
Informatique - Services","
https://www.cgi.fr/fr-fr/recrute",,"
10 000 salariés ou plus",,2023-07-21,"Catégorie :Développement/ingénierie
Localisation principale : France, Paris
No de poste :J0623-0624
Type d’emploi :Temps plein
Rencontrez nos professionnels
CGI France : Au travers de nos métiers, découvrez les hommes et les femmes de CGI
Description du poste :
Développement front-end, Back-end, Fullstack,... Ca vous parle ?
Nous rejoindre, c’est intégrer une communauté technique animée aussi bien par le défi de répondre aux enjeux de nos clients en proposant des solutions innovantes, que le partage entre pairs autour des dernières tendances technologiques et le développement des compétences grâce aux nombreuses formations et certifications proposées.

Si vous souhaitez intégrer nos équipes à La Défense et accompagner les plus grands acteurs de l'Energie, Télécom, Environnement, Médias et Sport, cette annonce est susceptible de vous intéresser.

Nous cherchons des consultants de Lead développeurs React JS F/H
Fonctions et responsabilités :
- Migration de la web app de gestion de flotte de gwt (java) vers Reactjs
- Encadrer une équipe React de niveau hétérogène (environ 6 personnes)
- Développement et maintenance du code.
- Revue de code et accompagnement des développeurs juniors pour leur montée en compétence.
- Constitution des sprints avec le chef de projet.

En rejoignant CGI, vous bénéficiez notamment d’une offre complète de formations (techniques, métiers, développement personnel,…), de flexibilité grâce à notre accord télétravail (jusqu’à 3 jours de télétravail par semaine), d’une politique de congés avantageuse (27 jours de congés payés, RTT, congés ancienneté et enfant malade,…) et d’un package d’avantages intéressant (régime d’achats d’actions, participation, CSE,...).
Qualités requises pour réussir dans ce rôle :
De formation Bac +4 ou 5 d’un Master ou Ingénieur Informatique, vous disposez d’une expérience professionnelle significative sur le même poste d’au moins 6 ans.

Vous avez les compétences techniques suivantes :

- React JS (composants fonctionnels, hooks, tests avec jest enzyme) typescript, Redux.
- Leaflet, ag-grid, formik, redux-toolkit, storybook
- Gitlab, Jenkins, Sonarqube et Jira.
- Java

Vous êtes :

- passionné(e),
- rigoureux(se)/Organisé(e)
- Un(e) bon(ne) communicant(e)

La maîtrise de l’anglais serait un atout : Niveau B2 à C1.

CGI est un employeur inclusif et attentif aux candidatures des personnes en situation de handicap, à l’évolution de carrières des hommes et des femmes et au bien-être de nos salariés LGBT+. Dans un souci d’accessibilité et de clarté, le point médian n’est pas utilisé dans cette annonce. Tous les termes employés se réfèrent aussi bien au genre féminin que masculin.
Compétences :
Français


Allier savoir et faire

Alors que la technologie s’inscrit au cœur de la transformation numérique de nos clients, nous savons que les individus sont au cœur du succès en affaires.

Prêt à faire partie d’une entreprise qui est gage d’excellence? Rejoignez CGI – où vos idées et vos actions changent la donne.",d7952ce2-905f-4d67-8fa7-451b7257cc4b,Lead développeur(se) React JS- Secteur Télécom - F/H,react
257,257,"
Lyon, ARA",,,2013.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.openclassrooms.com",,"
100 à 499 salariés",,2023-07-21,"Vous cherchez à acquérir des compétences d'aujourd'hui et un métier qui a de l'avenir en alternance?
Notre mission : rendre l'éducation accessible à tous.
L'alternance avec OpenClassrooms, c'est apprendre un métier avec une formation mêlant 20 % de théorie et 80 % de pratique, pour être 100 % prêt à l'emploi ! Grâce à nos équipes, qui épaulent chaque profil dans la recherche d'un employeur, nous affichons un taux d'insertion de nos étudiants de plus de 80 % en entreprise !
Notre école en ligne propose des centaines de formations sur des métiers du numérique, 100 % en ligne, avec un diplôme reconnu par l'État à la clé. Vous former avec OpenClassrooms, c'est aussi rejoindre une communauté internationale de plus de 12 000 étudiants actifs et motivés, dans 72 pays.
Nous recherchons un profil motivé pour occuper le poste de Développeur d'application JavaScript React h/f en alternance pour une de nos entreprises partenaires (grande distribution, secteur bancaire, luxe, services, etc…).
Si votre candidature est retenue, votre scolarité sera entièrement financée par votre employeur.
Attention : pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.
Description de l'entreprise
L'entreprise est une coopérative qui revalorise les stocks dormants des industriels de la région Auvergne Rhône-Alpes.
Missions
En tant que développeur/ se, tu devras intégrer une plateforme de e-commerce à partir d'une maquette désignée par notre développeur web. Nous te fournirons toutes les ressources dont tu auras besoin. Tu seras encadrée à distance par notre développeur web . Intégration d'une plateforme de e-commerce à partir d'une maquette Technologies Front : Angular / HTML / SCSS / TypeScript / JS / Redux Possibilité de toucher à du backend : Firebase / NestJS Tu participeras aux réunions d'équipe hebdomadaires et bénéficieras du support nécessaire à la réalisation de tes missions . Bénéfices : Intégrer une entreprise en création et participer à sa construction. Avoir une vision systémique du développement d'une entreprise. Possibilité de suivre une micro formation Angular en MOOC Expérimenter le management horizontal, tes prises d'initiatives seront encouragées, et tes propositions écoutées .
Profil recherché
Formation développeur Front-End Autonome, rempli.e d'énergie, tu aimes essayer de chercher la solution seul-e Curieux.se, tu aimes apprendre de nouvelles choses Une appétence pour le secteur de la mode est un plus .
Pré-requis à la formation
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d'école dans le cadre d'un contrat en alternance.",07fe91a7-c84f-498e-a952-8d6d03455e11,Développeur d'Application Javascript React en alternance H/F,react
258,258,"
Labège, OCC",,,2009.0,"
Il y a 2 jours",,"
Recrutement / Intérim & Bureaux De Placement","
http://www.lynx-rh.com",,"
50 à 99 salariés",,2023-07-21,"Description du poste
Lynx RH Toulouse est, cabinet de recrutement spécialisé dans les domaines de l'informatique, l'ingénierie et les fonctions supports en CDI, CDD, Intérim, recrute pour l'un de ses clients un(e) Développeur web Full Stack Node JS (H/F), basé à Balma (31).
Vos missions
Vos missions seront les suivantes :

Participation aux choix stratégique des technologies,
Mise en place des bonnes pratique,
Développement front et back office de solutions responsives multi-supports,
Tests des développements et maintenance.
TECHNOLOGIES : ReactJS, Node JS, Redux, HTML/CSS, API Rest.
Pré-requis
Vous êtes autonome et vous aimez le travail en équipe.
Profil recherché
De formation supérieure en informatique, vous justifiez d'une première expérience dans le développement de sites web/applications.
La maîtrise de React JS et Redux est impérative, ainsi qu'une bonne maîtrise de HTML/CSS et API Rest.
Vous disposez d'un sens de l'esthétique et du détail.
Des expériences en serveur rendering (SSR) et en développement serveur seraient également appréciées.
Vous êtes passionné par l'informatique, ouvert à tout type de technologies et curieux d'apprendre de nouvelles choses.
Au sein d'une entreprise à forte exigence technique, vous souhaitez vous investir dans un cadre de travail stimulant.
Avantages :
Tickets restaurants,
Mutuelle,
Prime de fin d'année.
Informations complémentaires
Type de contrat : CDI
Temps de travail : Temps plein
Salaire : 32000 € - 45000 € par an
Informations complémentaires
Nombre de postes à pourvoir : 1
Début de mission : 26/07/2023",f26b6da4-bf4a-4066-bcad-a818822373d8,Développeur full stack React JS / Node JS (H/F),react
259,259,"
SAUMUR, PLO",,,1986.0,"
Il y a 3 jours",,"
Informatique - Services","
http://www.itlink.fr",,"
500 à 999 salariés",,2023-07-21,"À PROPOS

Engagé.e.s pour l'égalité des chances, nous pensons que la diversité est une richesse. Nous savons respecter, apprécier et valoriser les différences de chacun.e : ce sont vos qualités humaines qui seront considérées.
“Connect and Create for Change”... with us !
IT Link, expert des systèmes connectés
Chez IT Link, cela fait 35 ans que nous misons sur la connexion des technologies, des objets et des personnes pour apporter des réponses aux grands défis actuels de notre société (environnement, santé, sécurité…).
Nous accompagnons nos clients dans leurs projets d’innovation et de transformation, des technologies embarquées à l’application métier en passant par le cloud et la science des données.
Pour cela, nous comptons sur nos 750 Linkers présent.e.s sur 14 agences réparties dans le monde (France, Benelux, Canada et Maroc). A horizon 2025, l’objectif est d’atteindre 1000 collaborateurs.trices pour soutenir notre forte croissance.

DESCRIPTIF DU POSTE
En rejoignant IT Link, vous intégrez directement l’équipe R&D de notre client qui compte aujourd’hui 6 à 8 développeurs. Ces derniers sont répartis en deux groupes, l’un sur les technologies historiques en C embarqué et l’autre sur des langages de haut niveau Node et React.
Dans cet environnement, vous participez activement à l'élargissement des gammes des produits via le développement de nouveaux logiciels codés en Node et React.
Pour vous, le poste idéal intègre notamment les tâches suivantes :
Développer le back end et le front end
Participer aux choix d’architecture
Participer à la rédaction de la documentation (spécifications techniques, tests …)
Travailler en étroite collaboration avec le service Validation et également être support aux équipes interne de la société

PROFIL
Vous êtes diplômé.e d'études supérieures en Informatique et vous avez une expérience significative réussie de 2 ans. Aujourd’hui, vous :
Avez une bonne maîtrise du développement sur serveur Node JS
Avez des bonnes connaissances des frameworks web React, jQuery, Boostrap.
Avez connaissance du langage Typescript, des systèmes d’authentification (OAuth2…)
Êtes proactif, rigoureux et créatif
Aimer travailler en équipe
Salaire : 35k-40K (négociable selon votre profil et vos expériences)

LE PROCESSUS DE RECRUTEMENT
Un process avec des étapes simples :
Des RDV avec les équipes Business & Recrutement pour prendre le temps de se connaître et valider l'adéquation entre votre projet professionnel et nos activités
Un accompagnement à la rencontre client : on prend le temps de vous présenter le contexte et les attendus techniques en amont et on assiste avec vous au RDV avec le prescripteur technique. C’est le moment de découvrir l’environnement du projet sur lequel vous serez amené.e à travailler !
Le retour est positif ? Nous finalisons les démarches administratives et vous accueillons parmi les Linkers grâce à notre parcours d’intégration personnalisé !

“Vous pouvez imaginer, créer et construire l'endroit le plus merveilleux de la terre, mais il faudra toujours des hommes pour que le rêve devienne réalité.” - Walt Disney. Et si vous veniez nous rejoindre pour réaliser les rêves de demain ? ✨
LES PLUS DE LA VIE CHEZ IT LINK
Alan : mutuelle familiale et 100% digitale
Transports en commun à 100%
Management de proximité
Forts engagements RSE",a542c5af-f43a-4e1d-82f5-a38dc8f5a212,Développeur.euse Full Stack Node/React (H/F/X),react
